Date,Price,Open,High,Low,Vol.,Change %
12/21/1983,1254.98,1241.77,1257.01,1241.46,,0.0105
12/20/1983,1241.97,1245.12,1248.68,1238.92,,-0.0021
12/19/1983,1244.61,1241.97,1249.9,1241.77,,0.002
12/16/1983,1242.17,1236.69,1243.9,1236.38,,0.0043
12/15/1983,1236.79,1245.94,1245.94,1236.59,,-0.0079
12/14/1983,1246.65,1255.39,1257.11,1245.53,,-0.0074
12/13/1983,1255.89,1261.48,1262.5,1255.59,,-0.0045
12/12/1983,1261.59,1256.5,1261.69,1255.49,,0.0012
12/9/1983,1260.06,1261.69,1263.11,1255.69,,-0.0015
12/8/1983,1261.89,1270.33,1271.54,1259.86,,-0.0093
12/7/1983,1273.78,1269.11,1279.37,1268.09,,0.0035
12/6/1983,1269.31,1270.33,1274.49,1268.19,,-0.001
12/5/1983,1270.53,1265.04,1270.33,1261.28,,0.0042
12/2/1983,1265.24,1275.3,1276.42,1262.8,,-0.0077
12/1/1983,1275.1,1275.81,1278.96,1273.17,,-0.0007
11/30/1983,1276.02,1287.3,1291.67,1275.51,,-0.0087
11/29/1983,1287.2,1270.63,1287.19,1268.19,,0.0137
11/28/1983,1269.82,1276.93,1277.74,1266.56,,-0.006
11/25/1983,1277.44,1274.19,1277.64,1272.46,,0.0014
11/23/1983,1275.61,1275.71,1278.46,1269.51,,-0.0002
11/22/1983,1275.81,1268.5,1279.67,1268.5,,0.0055
11/21/1983,1268.8,1251.32,1268.79,1250.2,,0.0142
11/18/1983,1251.02,1254.67,1255.28,1245.73,,-0.0029
11/17/1983,1254.67,1251.42,1255.49,1248.98,,0.0027
11/16/1983,1251.32,1247.87,1254.37,1245.73,,0.0027
11/15/1983,1247.97,1254.57,1257.42,1247.96,,-0.0049
11/14/1983,1254.07,1250.3,1261.28,1250.3,,0.0031
11/11/1983,1250.2,1235.37,1250.3,1233.74,,0.0116
11/10/1983,1235.87,1232.22,1239.63,1231.61,,0.0027
11/9/1983,1232.52,1215.04,1232.51,1214.33,,0.0145
11/8/1983,1214.94,1215.14,1219.21,1213.21,,0.0001
11/7/1983,1214.84,1218.09,1222.05,1214.83,,-0.0028
